"","Zipcodes","Inquiry","Applied","Accepted","Enrolled"
"1","96701",19,16,2,2
"2","96703",0,0,0,0
"3","96704",3,2,0,0
"4","96705",1,1,0,0
"5","96706",19,15,1,0
"6","96707",11,9,1,1
"7","96708",4,4,1,0
"8","96709",0,0,0,0
"9","96712",3,3,2,0
"10","96713",1,1,1,0
"11","96714",0,0,0,0
"12","96715",0,0,0,0
"13","96716",3,2,1,1
"14","96717",1,1,0,0
"15","96719",1,1,0,0
"16","96720",19,16,8,5
"17","96721",0,0,0,0
"18","96722",0,0,0,0
"19","96725",0,0,0,0
"20","96726",0,0,0,0
"21","96727",2,1,0,0
"22","96728",0,0,0,0
"23","96729",0,0,0,0
"24","96730",1,1,0,0
"25","96731",0,0,0,0
"26","96732",8,6,3,0
"27","96733",1,0,0,0
"28","96734",10,8,3,0
"29","96737",0,0,0,0
"30","96738",0,0,0,0
"31","96739",0,0,0,0
"32","96740",3,2,1,0
"33","96741",0,0,0,0
"34","96743",7,7,2,0
"35","96744",20,18,4,2
"36","96745",0,0,0,0
"37","96746",3,3,1,0
"38","96747",0,0,0,0
"39","96748",0,0,0,0
"40","96749",6,5,0,0
"41","96750",2,2,2,0
"42","96751",0,0,0,0
"43","96752",0,0,0,0
"44","96753",5,1,0,0
"45","96754",0,0,0,0
"46","96755",0,0,0,0
"47","96756",0,0,0,0
"48","96759",0,0,0,0
"49","96760",0,0,0,0
"50","96761",1,1,1,0
"51","96762",0,0,0,0
"52","96763",0,0,0,0
"53","96765",0,0,0,0
"54","96766",3,3,2,1
"55","96767",0,0,0,0
"56","96768",7,7,2,0
"57","96770",0,0,0,0
"58","96771",0,0,0,0
"59","96772",0,0,0,0
"60","96777",0,0,0,0
"61","96778",2,2,0,0
"62","96779",2,2,1,0
"63","96780",0,0,0,0
"64","96781",0,0,0,0
"65","96782",15,13,3,0
"66","96783",0,0,0,0
"67","96784",0,0,0,0
"68","96785",0,0,0,0
"69","96786",3,3,2,2
"70","96788",0,0,0,0
"71","96789",25,22,5,4
"72","96790",4,4,0,0
"73","96791",0,0,0,0
"74","96792",2,2,1,1
"75","96793",8,5,2,0
"76","96795",3,3,1,0
"77","96796",0,0,0,0
"78","96797",13,13,3,2
"79","96803",0,0,0,0
"80","96806",0,0,0,0
"81","96813",9,8,6,4
"82","96814",6,6,1,0
"83","96815",2,2,0,0
"84","96816",21,20,5,1
"85","96817",15,12,4,2
"86","96818",8,8,2,0
"87","96819",5,5,4,0
"88","96820",0,0,0,0
"89","96821",13,12,5,2
"90","96822",9,8,2,1
"91","96823",0,0,0,0
"92","96824",0,0,0,0
"93","96825",11,9,0,0
"94","96826",6,5,2,1
"95","96828",1,1,1,1
"96","96830",0,0,0,0
"97","96839",0,0,0,0
